ANNEE;REG;A21;NB_UL
2014;03;G;1495
2020;32;K;13876
2020;02;J;508
2018;01;S;869
2015;32;E;1296
2015;53;E;584
2020;24;H;4311
2021;01;C;2089
2020;02;C;1465
2021;04;L;2456
2019;04;I;2759
2014;94;D;66
2019;27;K;6513
2021;01;R;529
2017;04;I;2429
2020;52;E;773
2014;03;M;622
2019;94;H;734
2016;02;S;936
2014;02;S;837
2017;01;Q;2570
2018;04;J;888
2018;75;B;211
2020;94;Q;3775
2020;02;S;1042
2019;03;C;603
2017;02;S;933
2017;53;E;581
2020;32;D;1222
2016;04;K;1091
2018;02;R;332
2014;94;K;599
2021;04;K;1565
2017;02;M;1853
2021;93;K;19944
2019;02;P;607
2015;44;K;11217
2019;52;K;12665
2016;04;H;1444
2017;03;N;824
2018;02;J;466
2019;01;P;797
2021;94;R;870
2019;02;M;1926
2020;01;K;647
2019;01;C;1740
2020;04;L;2320
2017;04;R;823
2021;11;D;3817
2017;06;G;363
2017;84;E;1690
2014;02;C;1332
2020;03;P;246
2017;04;K;1139
2020;02;H;1233
2017;24;D;866
2014;01;N;1906
2019;44;B;155
2020;94;H;757
2017;53;K;10776
2014;02;K;612
2017;01;K;549
2015;01;L;1130
2014;04;L;1773
2014;53;K;8483
2016;01;K;535
2016;03;M;696
2014;01;H;945
2017;94;H;648
2014;02;N;10059
2017;02;Q;2697
2014;53;E;587
2014;02;F;2390
2014;03;P;184
2014;94;L;1977
2014;01;F;2720
2014;04;N;3073
2014;01;M;1706
2014;01;K;483
2014;02;R;328
2014;02;H;1157
2014;03;C;548
2014;02;J;404
2014;27;E;696
2014;03;K;136
2014;04;K;916
2014;03;N;595
2014;84;B;239
2014;01;E;81
2014;01;L;1100
2014;94;R;535
2014;03;H;360
2014;03;J;121
2014;94;H;608
2014;03;E;30
2014;94;E;68
2014;94;J;402
2014;76;B;225
2014;27;B;122
2017;24;K;5190
2014;11;B;234
2014;02;L;1194
2014;03;R;120
2014;01;J;436
2014;03;L;304
2014;01;D;208
2015;01;S;876
2015;32;B;83
2021;94;K;1371
2019;75;E;1183
2014;04;E;108
2014;75;B;211
2015;02;C;1384
2016;94;H;636
2014;44;B;170
2014;04;D;1453
2014;02;E;63
2017;01;C;1712
2015;03;C;591
2018;02;L;1161
2015;27;H;2740
2015;04;K;1025
2015;01;K;498
2015;03;Q;659
2015;03;F;1301
2015;04;L;1930
2015;04;S;1686
2015;03;S;240
2015;93;E;709
2015;01;J;462
2015;04;J;784
2015;11;E;1235
2015;94;K;691
2015;01;H;989
2015;03;I;559
2015;27;E;675
2015;02;K;666
2015;02;H;1194
2015;76;B;224
2015;94;E;69
2017;01;M;1971
2015;04;E;118
2015;01;R;339
2015;24;E;628
2015;94;J;423
2015;27;B;124
2015;04;H;1380
2017;02;N;12019
2015;03;R;108
2015;03;N;571
2015;03;P;222
2015;52;B;222
2015;03;L;355
2015;02;B;17
2015;03;H;392
2015;02;E;65
2015;01;E;92
2015;03;K;151
2015;02;J;424
2020;02;E;64
2015;94;D;69
2015;75;B;213
2016;02;H;1218
2015;11;B;228
2017;06;I;121
2015;03;E;37
2015;03;J;133
2021;44;D;3559
2021;11;B;153
2017;01;J;487
2015;04;D;1454
2021;02;Q;3406
2015;28;B;63
2016;01;C;1710
2016;04;L;1997
2016;93;D;1797
2016;02;N;11509
2016;52;E;749
2016;03;L;383
2016;28;E;761
2016;02;K;695
2016;01;H;1007
2016;27;E;649
2016;04;J;824
2016;32;E;1383
2016;94;E;69
2016;94;J;421
2016;76;E;1080
2016;02;L;1065
2016;02;Q;2596
2016;01;B;10
2016;03;S;249
2016;53;E;582
2016;53;D;1526
2016;03;N;820
2016;84;E;1693
2016;03;P;211
2016;52;B;206
2016;02;J;443
2016;28;B;62
2016;03;H;410
2016;03;K;171
2016;04;E;125
2016;01;D;214
2016;32;D;806
2016;75;B;207
2016;01;E;90
2016;03;B;97
2016;03;E;40
2017;01;G;4310
2017;02;C;1411
2016;03;J;142
2017;76;B;214
2016;03;R;110
2016;02;E;64
2017;06;L;43
2017;01;S;896
2017;28;D;821
2017;03;C;590
2017;02;P;619
2017;94;K;883
2017;03;M;711
2017;02;L;1108
2017;04;E;134
2017;01;F;2837
2017;03;F;1285
2017;27;E;678
2017;02;K;713
2017;02;H;1210
2017;94;J;458
2017;01;H;975
2017;11;D;3080
2017;84;B;222
2017;03;Q;733
2017;03;G;1558
2017;03;E;43
2017;03;S;235
2017;06;F;235
2017;06;R;18
2017;76;E;1068
2017;24;B;54
2017;03;K;186
2017;94;D;90
2017;06;Q;177
2017;06;J;40
2017;06;P;55
2017;02;J;459
2017;03;J;131
2017;01;D;224
2017;03;H;391
2017;32;B;77
2017;06;M;156
2017;03;B;104
2017;94;E;72
2017;03;L;397
2018;01;Q;2778
2018;03;S;247
2017;04;D;1384
2017;04;B;24
2017;03;D;52
2017;11;B;215
2017;02;E;60
2017;02;D;131
2018;06;Q;202
2017;52;B;228
2017;28;B;61
2019;02;J;497
2017;06;N;99
2018;03;P;215
2019;03;Q;833
2018;01;D;261
2018;03;G;1583
2018;94;R;740
2018;32;E;1137
2018;52;E;738
2018;04;K;1204
2018;03;K;204
2018;01;P;824
2018;06;S;40
2018;03;R;101
2018;03;M;771
2018;03;N;858
2018;03;F;1221
2018;03;H;395
2018;06;G;434
2018;01;M;2039
2018;28;D;900
2018;03;C;596
2018;44;D;3079
2018;94;H;697
2018;01;E;s
2018;94;B;16
2018;53;E;593
2018;01;J;491
2018;01;L;1364
2018;01;H;948
2018;03;B;99
2018;06;H;209
2018;06;I;147
2018;02;K;723
2018;06;N;106
2018;94;D;106
2018;24;D;962
2018;06;M;181
2018;04;E;138
2018;01;K;579
2018;04;B;20
2018;01;R;375
2018;06;F;314
2018;03;L;406
2018;94;E;79
2018;52;B;227
2018;04;D;1264
2018;84;B;219
2018;06;R;20
2018;11;B;184
2018;76;B;213
2019;02;I;1543
2018;02;E;53
2018;06;J;44
2019;03;H;423
2018;03;J;142
2018;02;D;142
2018;06;L;48
2018;93;B;92
2018;03;D;57
2019;11;E;1443
2018;06;K;31
2018;53;B;71
2020;94;K;1197
2019;02;F;2578
2019;04;L;2175
2019;03;R;120
2019;06;G;421
2019;94;E;84
2019;01;H;1002
2019;02;R;394
2019;01;R;420
2020;03;F;1314
2019;03;M;806
2019;52;B;265
2019;11;B;164
2019;04;K;1270
2020;04;K;1401
2019;93;D;2251
2019;24;E;651
2019;03;G;1593
2019;03;J;152
2019;03;N;1016
2019;06;C;129
2019;06;F;274
2019;94;L;2272
2019;76;B;210
2019;01;J;498
2019;03;S;270
2019;04;E;142
2019;02;L;1205
2019;03;B;100
2019;53;D;1806
2019;27;E;714
2019;06;N;130
2019;02;K;819
2019;06;J;49
2019;03;L;426
2019;06;S;36
2019;01;L;1558
2019;06;Q;215
2019;94;J;520
2019;01;K;596
2019;06;P;54
2019;06;H;186
2019;03;P;229
2019;01;E;s
2019;06;I;116
2019;03;K;209
2021;02;H;1278
2019;02;D;144
2019;06;M;168
2019;06;R;27
2019;02;E;57
2020;84;E;1816
2019;03;D;55
2019;93;B;94
2019;01;D;248
2019;06;L;56
2020;01;P;894
2020;01;L;1661
2020;03;Q;858
2021;06;H;175
2020;06;F;283
2020;02;P;624
2020;01;R;469
2020;06;N;126
2020;04;B;22
2020;94;J;574
2020;03;L;443
2020;04;E;148
2020;06;C;132
2020;01;J;526
2020;02;Q;3178
2020;02;L;1332
2020;94;D;126
2020;52;B;295
2020;01;E;s
2020;03;R;122
2020;03;H;432
2020;27;D;1314
2020;03;J;158
2020;06;H;178
2021;04;J;1290
2020;28;E;691
2020;02;R;417
2020;06;G;410
2020;06;S;36
2020;06;Q;229
2020;03;K;238
2020;06;M;186
2020;94;E;85
2020;06;I;130
2020;04;D;1270
2020;11;B;149
2021;03;L;473
2020;01;D;261
2020;53;B;72
2020;03;B;105
2020;03;E;42
2020;75;B;192
2021;03;R;165
2021;44;E;1675
2021;52;E;834
2021;02;K;979
2021;03;S;363
2021;03;J;209
2021;01;L;1814
2021;06;J;49
2021;03;H;511
2021;03;K;276
2021;75;E;1279
2021;03;I;721
2021;06;N;159
2021;04;E;158
2021;94;J;642
2021;94;E;98
2021;02;R;483
2021;01;J;637
2021;53;B;73
2021;06;F;316
2021;06;G;424
2021;06;M;194
2021;06;C;146
2021;02;E;76
2021;06;Q;255
2021;06;I;128
2021;01;E;114
2021;94;D;146
2021;52;B;306
2021;44;B;148
2021;06;E;18
2021;75;B;192
2021;76;B;194
2021;01;D;264
2021;84;B;201
2021;03;B;112
2021;03;D;60
2021;04;D;1273
2021;03;E;45
2021;06;R;38
2021;06;K;36
2016;27;B;120
2017;27;B;117
2018;27;B;112
2019;27;B;106
2020;27;B;108
2021;27;B;108
2017;06;C;127
2018;06;C;146
2017;06;H;179
2020;06;L;60
2021;06;L;63
2017;06;S;37
2021;06;S;34
2018;06;P;57
2020;06;P;50
2021;06;P;55
2020;06;J;46
2014;53;B;79
2015;53;B;79
2016;53;B;71
2017;53;B;72
2019;53;B;73
2017;75;B;211
2019;75;B;198
2017;06;K;34
2019;06;K;30
2020;06;K;32
2017;06;E;s
2018;06;E;s
2019;06;E;s
2020;06;E;s
2015;84;B;234
2016;84;B;230
2019;84;B;211
2020;84;B;204
2014;93;B;99
2015;93;B;96
2016;93;B;93
2017;93;B;94
2020;93;B;93
2021;93;B;96
2020;06;R;30
2014;28;B;63
2018;28;B;61
2019;28;B;62
2020;28;B;61
2021;28;B;58
2015;44;B;165
2017;06;B;s
2018;06;B;s
2019;06;B;s
2020;06;B;s
2021;06;B;3
2014;24;B;51
2015;24;B;56
2016;24;B;53
2018;24;B;53
2019;24;B;53
2020;24;B;54
2021;24;B;59
2014;94;B;14
2015;94;B;15
2016;94;B;16
2017;94;B;14
2019;94;B;14
2020;94;B;17
2021;94;B;18
2016;11;B;218
2016;76;B;220
2020;76;B;202
2016;44;B;156
2017;44;B;154
2018;44;B;159
2014;32;B;83
2016;32;B;77
2018;32;B;74
2019;32;B;76
2020;32;B;75
2021;32;B;78
2020;44;B;150
2014;02;D;164
2015;02;D;188
2016;02;D;173
2020;02;D;149
2021;02;D;150
2018;03;E;43
2019;03;E;43
2017;03;R;103
2015;01;D;197
2014;03;B;85
2014;02;B;15
2016;02;B;16
2017;02;B;15
2018;02;B;14
2019;02;B;14
2020;02;B;13
2021;02;B;13
2016;04;D;1455
2019;04;D;1276
2016;94;D;80
2019;94;D;110
2014;01;B;11
2015;01;B;9
2017;01;B;s
2018;01;B;s
2019;01;B;s
2020;01;B;s
2021;01;B;10
2014;04;B;16
2015;04;B;20
2016;04;B;21
2019;04;B;20
2021;04;B;22
2017;01;E;s
2014;03;D;40
2015;03;D;47
2020;03;D;58
2016;03;D;50
2017;06;D;16
2018;06;D;18
2019;06;D;16
2020;06;D;16
2021;06;D;19
2014;06;B;nd
2015;06;B;nd
2016;06;B;nd
2014;06;C;nd
2015;06;C;nd
2016;06;C;nd
2014;06;D;nd
2015;06;D;nd
2016;06;D;nd
2014;06;E;nd
2015;06;E;nd
2016;06;E;nd
2014;06;F;nd
2015;06;F;nd
2016;06;F;nd
2014;06;G;nd
2015;06;G;nd
2016;06;G;nd
2014;06;H;nd
2015;06;H;nd
2016;06;H;nd
2014;06;I;nd
2015;06;I;nd
2016;06;I;nd
2014;06;J;nd
2015;06;J;nd
2016;06;J;nd
2014;06;K;nd
2015;06;K;nd
2016;06;K;nd
2014;06;L;nd
2015;06;L;nd
2016;06;L;nd
2014;06;M;nd
2015;06;M;nd
2016;06;M;nd
2014;06;N;nd
2015;06;N;nd
2016;06;N;nd
2014;06;P;nd
2015;06;P;nd
2016;06;P;nd
2014;06;Q;nd
2015;06;Q;nd
2016;06;Q;nd
2014;06;R;nd
2015;06;R;nd
2016;06;R;nd
2014;06;S;nd
2015;06;S;nd
2016;06;S;nd
2015;93;TOT;394823
2016;52;TOT;198429
2015;28;TOT;154988
2020;27;TOT;166206
2015;53;TOT;181021
2014;75;TOT;360005
2018;75;TOT;414624
2015;94;TOT;28724
2014;84;TOT;500404
2016;93;TOT;404327
2020;84;TOT;631574
2014;93;TOT;383697
2014;52;TOT;187410
2019;93;TOT;462357
2017;84;TOT;540599
2016;53;TOT;185097
2018;28;TOT;166830
2017;32;TOT;256958
2016;76;TOT;402529
2016;24;TOT;127087
2019;76;TOT;459557
2014;24;TOT;122795
2017;76;TOT;412398
2016;44;TOT;273235
2014;28;TOT;151700
2014;32;TOT;241597
2014;44;TOT;263730
2014;76;TOT;381787
2015;75;TOT;369961
2016;11;TOT;906695
2017;11;TOT;934377
2017;75;TOT;389792
2018;76;TOT;436971
2018;84;TOT;573831
2018;27;TOT;154941
2018;24;TOT;134958
2019;53;TOT;209328
2019;28;TOT;174664
2019;84;TOT;604545
2019;52;TOT;226674
2020;44;TOT;314745
2020;53;TOT;217155
2020;76;TOT;478270
2020;32;TOT;295996
2020;11;TOT;1118335
2021;28;TOT;196157
2021;53;TOT;234609
2021;32;TOT;320961
2021;76;TOT;517179
2021;24;TOT;156829
2017;53;TOT;188974
2015;76;TOT;392861
2018;53;TOT;198927
2014;11;TOT;848578
2016;84;TOT;527649
2018;11;TOT;997207
2014;27;TOT;141628
2015;84;TOT;514911
2017;52;TOT;203767
2019;32;TOT;283651
2019;27;TOT;160879
2017;44;TOT;277573
2015;24;TOT;125319
2016;27;TOT;146002
2018;93;TOT;437380
2014;53;TOT;176420
2015;27;TOT;144434
2020;93;TOT;482102
2019;75;TOT;436444
2018;52;TOT;214395
2021;27;TOT;178253
2021;11;TOT;1204323
2019;44;TOT;302908
2016;75;TOT;379574
2016;32;TOT;251952
2015;11;TOT;877956
2018;44;TOT;290972
2017;93;TOT;413341
2017;27;TOT;148366
2021;75;TOT;494052
2018;32;TOT;270314
2021;44;TOT;338492
2017;28;TOT;159746
2020;94;TOT;35489
2018;01;TOT;23979
2015;44;TOT;269192
2020;75;TOT;455177
2014;94;TOT;27495
2021;93;TOT;522762
2020;28;TOT;181518
2015;32;TOT;248182
2015;52;TOT;193307
2019;11;TOT;1062722
2016;28;TOT;157043
2021;52;TOT;256711
2020;52;TOT;236920
2017;94;TOT;30711
2020;24;TOT;145886
2021;84;TOT;679395
2017;24;TOT;128997
2019;24;TOT;140018
2018;04;TOT;44342
2021;02;TOT;38859
2021;94;TOT;38660
2016;02;TOT;30652
2015;02;TOT;29298
2020;03;TOT;9247
2014;01;TOT;21149
2018;94;TOT;32566
2021;04;TOT;57052
2016;01;TOT;23209
2014;04;TOT;38634
2021;03;TOT;10408
2020;04;TOT;50307
2016;94;TOT;29760
2020;02;TOT;34559
2017;04;TOT;42714
2016;04;TOT;42136
2015;04;TOT;40042
2019;04;TOT;46009
2015;01;TOT;22225
2018;02;TOT;31905
2020;01;TOT;27709
2019;94;TOT;34296
2017;02;TOT;31234
2014;02;TOT;27866
2014;03;TOT;7153
2017;03;TOT;8128
2021;01;TOT;30965
2019;03;TOT;8765
2016;03;TOT;8203
2017;01;TOT;23349
2019;01;TOT;25412
2015;03;TOT;7683
2018;03;TOT;8321
2019;02;TOT;32475
2017;06;TOT;1714
2018;06;TOT;2010
2019;06;TOT;1923
2021;06;TOT;2112
2020;06;TOT;1961
2014;06;TOT;nd
2015;06;TOT;nd
2016;06;TOT;nd
2015;FR;L;296325
2016;FR;G;692414
2015;FR;R;139507
2020;FR;M;632666
2014;FR;L;297046
2018;FR;L;311815
2015;FR;C;215332
2014;FR;G;677513
2020;FR;F;567070
2014;FR;S;218701
2019;FR;J;164331
2017;FR;C;218413
2016;FR;L;298487
2018;FR;J;151528
2017;FR;S;227958
2019;FR;M;596893
2014;FR;F;503419
2017;FR;G;692015
2014;FR;E;12601
2015;FR;E;12792
2016;FR;E;12801
2017;FR;E;12580
2018;FR;E;12737
2019;FR;E;12827
2020;FR;E;13110
2021;FR;E;13913
2021;FR;F;604062
2015;FR;N;188783
2015;FR;M;461040
2018;FR;M;553623
2014;FR;C;212846
2014;FR;M;439199
2018;FR;G;709722
2018;FR;F;526028
2016;FR;Q;469083
2016;FR;I;259717
2015;FR;G;688406
2016;FR;F;507794
2017;FR;N;206171
2018;FR;I;270414
2017;FR;L;302413
2021;FR;N;294297
2019;FR;F;545353
2019;FR;G;724874
2017;FR;M;504696
2015;FR;F;507134
2018;FR;P;167789
2020;FR;N;263537
2014;FR;P;130948
2016;FR;M;481010
2014;FR;N;180624
2019;FR;N;243169
2021;FR;C;267366
2014;FR;D;22440
2014;FR;Q;431724
2019;FR;R;167481
2014;FR;I;246879
2019;FR;I;279888
2021;FR;D;38604
2015;FR;S;222468
2021;FR;G;778775
2019;FR;S;264383
2020;FR;G;740536
2015;FR;H;102386
2018;FR;K;190639
2015;FR;I;253886
2021;FR;R;180878
2018;FR;S;244699
2020;FR;S;280937
2018;FR;C;225471
2017;FR;R;148455
2020;FR;C;246476
2018;FR;N;224300
2019;FR;C;235296
2016;FR;P;145871
2019;FR;L;320298
2016;FR;S;224189
2016;FR;R;144209
2014;FR;H;96587
2014;FR;R;136966
2016;FR;C;216555
2017;FR;D;30036
2020;FR;Q;549645
2017;FR;F;510103
2021;FR;M;701291
2020;FR;P;186118
2017;FR;P;151935
2015;FR;Q;450793
2015;FR;P;139147
2017;FR;J;138114
2021;FR;P;206620
2017;FR;I;263091
2021;FR;L;348494
2020;FR;R;166962
2016;FR;D;27655
2019;FR;P;179177
2016;FR;N;197283
2020;FR;I;284964
2020;FR;L;330280
2021;FR;S;317261
2018;FR;H;139586
2019;FR;H;164595
2020;FR;D;35900
2019;FR;K;203965
2021;FR;Q;569387
2017;FR;H;119343
2014;FR;J;121563
2018;FR;R;157437
2019;FR;Q;534312
2016;FR;K;171042
2017;FR;K;179938
2017;FR;Q;485589
2016;FR;J;131944
2018;FR;D;32291
2021;FR;I;294869
2018;FR;Q;514558
2019;FR;D;33959
2015;FR;K;162398
2016;FR;H;111652
2015;FR;D;25695
2021;FR;H;222752
2021;FR;K;237199
2021;FR;J;200167
2020;FR;J;178359
2020;FR;H;186621
2014;FR;K;151052
2020;FR;K;218152
2015;FR;J;126895
2015;FR;B;1940
2014;FR;B;1940
2018;FR;B;1836
2019;FR;B;1826
2021;FR;B;1844
2016;FR;B;1873
2017;FR;B;1888
2020;FR;B;1823
2015;FR;TOT;3994927
2016;FR;TOT;4093579
2020;FR;TOT;4883156
2014;FR;TOT;3882048
2018;FR;TOT;4434473
2019;FR;TOT;4672627
2017;FR;TOT;4192738
2021;FR;TOT;5277779
